Date,maxtemp,mintemp,avgtemp,dewpoint,wetbulb,stnpressure,avgspeed,daylength,precipitation,maxtemp_roll_7,mintemp_roll_7,avgtemp_roll_7,dewpoint_roll_7,wetbulb_roll_7,stnpressure_roll_7,avgspeed_roll_7,daylength_roll_7,precipitation_roll_7,maxtemp_roll_14,mintemp_roll_14,avgtemp_roll_14,dewpoint_roll_14,wetbulb_roll_14,stnpressure_roll_14,avgspeed_roll_14,daylength_roll_14,precipitation_roll_14
2007-06-03,78,62,70.5,60.0,63.5,28.845,6.95,903.0,0.165,83.0,61.42857142857143,73.14285714285714,58.642857142857146,64.28571428571429,29.237142857142857,7.5642857142857105,899.0,0.09400000000000001,81.42857142857143,58.142857142857146,70.53571428571429,53.964285714285715,61.035714285714285,29.32642857142858,8.889285714285712,894.0714285714286,0.10178571428571428
2007-06-04,72,56,64.5,57.5,60.0,28.85,9.899999999999999,904.0,0.35,82.0,62.285714285714285,73.07142857142857,60.0,64.78571428571429,29.15,8.228571428571424,900.2857142857143,0.14385714285714288,80.85714285714286,59.0,70.67857142857143,54.5,61.285714285714285,29.29000000000001,9.024999999999997,895.5,0.12678571428571428
2007-06-05,64,47,56.5,47.5,51.5,29.130000000000003,7.85,906.0,0.345,78.57142857142857,60.42857142857143,70.35714285714286,58.42857142857143,62.785714285714285,29.10928571428571,8.357142857142852,901.7142857142857,0.19314285714285714,79.21428571428571,58.42857142857143,69.53571428571429,54.67857142857143,60.82142857142857,29.272500000000008,8.84285714285714,896.9285714285714,0.15142857142857144
2007-06-06,73,44,59.5,47.5,55.0,29.1,11.0,906.0,0.0055,76.28571428571429,57.285714285714285,67.64285714285714,57.0,61.285714285714285,29.07428571428571,8.449999999999996,902.8571428571429,0.19392857142857145,78.07142857142857,57.285714285714285,68.32142857142857,54.607142857142854,60.392857142857146,29.248928571428582,8.807142857142853,898.2857142857143,0.15182142857142858
2007-06-07,92,71,81.5,61.5,68.5,28.875,21.9,907.0,0.0,78.0,58.142857142857146,68.85714285714286,57.07142857142857,61.714285714285715,29.012142857142855,10.21428571428571,904.0,0.1553571428571429,78.35714285714286,57.857142857142854,68.67857142857143,55.17857142857143,60.785714285714285,29.20857142857144,9.210714285714284,899.5714285714286,0.15089285714285716
2007-06-08,81,57,70.5,53.5,61.5,29.21,13.100000000000001,908.0,0.0,77.28571428571429,57.42857142857143,68.14285714285714,55.714285714285715,61.0,29.010714285714283,11.21428571428571,905.0,0.1267857142857143,79.14285714285714,57.92857142857143,69.25,55.785714285714285,61.392857142857146,29.185000000000006,9.539285714285711,900.7857142857143,0.14739285714285716
2007-06-09,79,52,67.0,48.0,57.5,29.39,4.85,909.0,0.0,77.0,55.57142857142857,67.14285714285714,53.642857142857146,59.642857142857146,29.057142857142853,10.79285714285714,906.1428571428571,0.12364285714285717,79.78571428571429,58.142857142857146,69.85714285714286,55.285714285714285,61.464285714285715,29.185000000000006,9.349999999999996,901.9285714285714,0.10132142857142859
2007-06-10,81,55,69.5,50.5,59.5,29.365000000000002,5.699999999999999,910.0,0.0,77.42857142857143,54.57142857142857,67.0,52.285714285714285,59.07142857142857,29.131428571428568,10.61428571428571,907.1428571428571,0.10007142857142859,80.21428571428571,58.0,70.07142857142857,55.464285714285715,61.67857142857143,29.18428571428572,9.08928571428571,903.0714285714286,0.09703571428571431
2007-06-11,86,58,73.5,51.5,61.0,29.439999999999998,7.65,910.0,0.0,79.42857142857143,54.857142857142854,68.28571428571429,51.42857142857143,59.214285714285715,29.215714285714284,10.292857142857141,908.0,0.05007142857142859,80.71428571428571,58.57142857142857,70.67857142857143,55.714285714285715,62.0,29.182857142857152,9.260714285714283,904.1428571428571,0.09696428571428574
2007-06-12,83,62,73.5,50.5,60.5,29.465,9.4,911.0,0.0,82.14285714285714,57.0,70.71428571428571,51.857142857142854,60.5,29.263571428571428,10.514285714285714,908.7142857142857,0.0007857142857143102,80.35714285714286,58.714285714285715,70.53571428571429,55.142857142857146,61.642857142857146,29.186428571428575,9.435714285714283,905.2142857142857,0.09696428571428574
2007-06-13,87,60,75.5,53.0,62.0,29.36,8.6,911.0,0.0,84.14285714285714,59.285714285714285,73.0,52.642857142857146,61.5,29.300714285714285,10.171428571428569,909.4285714285714,2.4533946303100557e-17,80.21428571428571,58.285714285714285,70.32142857142857,54.82142857142857,61.392857142857146,29.187500000000007,9.310714285714283,906.1428571428571,0.09696428571428574
2007-06-14,89,64,78.0,54.5,63.5,29.33,6.6,912.0,0.0,83.71428571428571,58.285714285714285,72.5,51.642857142857146,60.785714285714285,29.365714285714287,7.985714285714283,910.1428571428571,2.4533946303100557e-17,80.85714285714286,58.214285714285715,70.67857142857143,54.357142857142854,61.25,29.18892857142858,9.099999999999998,907.0714285714286,0.07767857142857146
2007-06-15,91,63,77.5,56.0,64.5,29.310000000000002,4.5,912.0,0.0,85.14285714285714,59.142857142857146,73.5,52.0,61.214285714285715,29.38,6.7571428571428545,910.7142857142857,2.4533946303100557e-17,81.21428571428571,58.285714285714285,70.82142857142857,53.857142857142854,61.107142857142854,29.19535714285715,8.985714285714284,907.8571428571429,0.06339285714285717
2007-06-16,93,66,80.0,60.5,67.5,29.295,5.949999999999999,913.0,0.004,87.14285714285714,61.142857142857146,75.35714285714286,53.785714285714285,62.642857142857146,29.36642857142857,6.914285714285712,911.2857142857143,0.000571428571428596,82.07142857142857,58.357142857142854,71.25,53.714285714285715,61.142857142857146,29.211785714285725,8.853571428571426,908.7142857142857,0.06210714285714288
2007-06-17,91,70,81.0,64.5,70.0,29.255000000000003,6.199999999999999,913.0,0.08,88.57142857142857,63.285714285714285,77.0,55.785714285714285,64.14285714285714,29.350714285714282,6.985714285714282,911.7142857142857,0.012000000000000025,83.0,58.92857142857143,72.0,54.035714285714285,61.607142857142854,29.241071428571438,8.799999999999999,909.4285714285714,0.05603571428571431
2007-06-18,89,69,80.0,65.0,70.0,29.155,13.85,913.0,0.15000000000000002,89.0,64.85714285714286,77.92857142857143,57.714285714285715,65.42857142857143,29.31,7.871428571428568,912.1428571428571,0.03342857142857146,84.21428571428571,59.857142857142854,73.10714285714286,54.57142857142857,62.32142857142857,29.262857142857147,9.082142857142856,910.0714285714286,0.04175000000000002
2007-06-19,81,65,73.0,55.0,63.0,29.285,11.350000000000001,914.0,0.755,88.71428571428571,65.28571428571429,77.85714285714286,58.357142857142854,65.78571428571429,29.284285714285712,8.149999999999999,912.5714285714286,0.14128571428571432,85.42857142857143,61.142857142857146,74.28571428571429,55.107142857142854,63.142857142857146,29.273928571428577,9.332142857142856,910.6428571428571,0.07103571428571431
2007-06-20,85,61,73.5,51.0,61.0,29.425,8.25,914.0,0.0,88.42857142857143,65.42857142857143,77.57142857142857,58.07142857142857,65.64285714285714,29.29357142857143,8.099999999999998,913.0,0.14128571428571432,86.28571428571429,62.357142857142854,75.28571428571429,55.357142857142854,63.57142857142857,29.297142857142862,9.135714285714284,911.2142857142857,0.07064285714285717
2007-06-21,80,61,71.0,51.0,60.5,29.384999999999998,10.149999999999999,914.0,0.0055,87.14285714285714,65.0,76.57142857142857,57.57142857142857,65.21428571428571,29.301428571428573,8.607142857142854,913.2857142857143,0.1420714285714286,85.42857142857143,61.642857142857146,74.53571428571429,54.607142857142854,63.0,29.333571428571435,8.296428571428569,911.7142857142857,0.07103571428571431
2007-06-22,76,61,69.0,49.5,58.0,29.36,8.399999999999999,914.0,0.0045000000000000005,85.0,64.71428571428571,75.35714285714286,56.642857142857146,64.28571428571429,29.308571428571433,9.164285714285711,913.5714285714286,0.14271428571428574,85.07142857142857,61.92857142857143,74.42857142857143,54.32142857142857,62.75,29.34428571428572,7.9607142857142845,912.1428571428571,0.07135714285714288
2007-06-23,68,61,65.0,59.0,61.5,29.255000000000003,8.55,914.0,0.195,81.42857142857143,64.0,73.21428571428571,56.42857142857143,63.42857142857143,29.302857142857142,9.535714285714281,913.7142857142857,0.17,84.28571428571429,62.57142857142857,74.28571428571429,55.107142857142854,63.035714285714285,29.334642857142864,8.225,912.5,0.08528571428571431
2007-06-24,77,63,70.0,62.0,65.0,29.295,7.0,914.0,0.0,79.42857142857143,63.0,71.64285714285714,56.07142857142857,62.714285714285715,29.308571428571433,9.649999999999995,913.8571428571429,0.15857142857142859,84.0,63.142857142857146,74.32142857142857,55.92857142857143,63.42857142857143,29.329642857142865,8.317857142857141,912.7857142857143,0.08528571428571431
2007-06-25,89,65,77.0,66.5,70.0,29.41,6.35,914.0,0.0,79.42857142857143,62.42857142857143,71.21428571428571,56.285714285714285,62.714285714285715,29.345000000000002,8.578571428571424,914.0,0.13714285714285715,84.21428571428571,63.642857142857146,74.57142857142857,57.0,64.07142857142857,29.32750000000001,8.224999999999998,913.0714285714286,0.08528571428571431
2007-06-26,92,70,81.5,69.0,72.0,29.42,7.6,913.0,0.0825,81.0,63.142857142857146,72.42857142857143,58.285714285714285,64.0,29.36428571428572,8.042857142857137,913.8571428571429,0.04107142857142857,84.85714285714286,64.21428571428571,75.14285714285714,58.32142857142857,64.89285714285714,29.32428571428573,8.09642857142857,913.2142857142857,0.09117857142857146
2007-06-27,91,71,80.5,69.5,72.0,29.325,8.65,913.0,0.25,81.85714285714286,64.57142857142857,73.42857142857143,60.92857142857143,65.57142857142857,29.35,8.099999999999994,913.7142857142857,0.07678571428571428,85.14285714285714,65.0,75.5,59.5,65.60714285714286,29.321785714285728,8.099999999999998,913.3571428571429,0.10903571428571432
2007-06-28,74,58,66.5,55.5,60.5,29.42,12.9,912.0,0.0,81.0,64.14285714285714,72.78571428571429,61.57142857142857,65.57142857142857,29.355,8.492857142857138,913.4285714285714,0.076,84.07142857142857,64.57142857142857,74.67857142857143,59.57142857142857,65.39285714285714,29.3282142857143,8.549999999999999,913.3571428571429,0.10903571428571432
2007-06-29,71,56,63.5,55.5,59.5,29.439999999999998,8.25,912.0,0.0,80.28571428571429,63.42857142857143,72.0,62.42857142857143,65.78571428571429,29.36642857142857,8.471428571428566,913.1428571428571,0.07535714285714287,82.64285714285714,64.07142857142857,73.67857142857143,59.535714285714285,65.03571428571429,29.337500000000013,8.817857142857141,913.3571428571429,0.10903571428571432
2007-06-30,79,54,67.5,47.5,57.0,29.435000000000002,6.0,912.0,0.0,81.85714285714286,62.42857142857143,72.35714285714286,60.785714285714285,65.14285714285714,29.392142857142858,8.10714285714285,912.8571428571429,0.04750000000000001,81.64285714285714,63.214285714285715,72.78571428571429,58.607142857142854,64.28571428571429,29.347500000000014,8.821428571428571,913.2857142857143,0.10875000000000003
2007-07-01,76,54,67.0,51.5,58.5,29.535,9.149999999999999,911.0,0.0,81.71428571428571,61.142857142857146,71.92857142857143,59.285714285714285,64.21428571428571,29.426428571428573,8.414285714285707,912.4285714285714,0.04750000000000001,80.57142857142857,62.07142857142857,71.78571428571429,57.67857142857143,63.464285714285715,29.367500000000014,9.032142857142855,913.1428571428571,0.10303571428571431
2007-07-02,79,53,67.0,50.0,58.5,29.52,8.3,911.0,0.0,80.28571428571429,59.42857142857143,70.5,56.92857142857143,62.57142857142857,29.442142857142862,8.692857142857134,912.0,0.04750000000000001,79.85714285714286,60.92857142857143,70.85714285714286,56.607142857142854,62.642857142857146,29.393571428571445,8.635714285714284,913.0,0.0923214285714286
2007-07-03,83,60,72.5,56.5,63.0,29.345,7.35,910.0,0.245,79.0,58.0,69.21428571428571,55.142857142857146,61.285714285714285,29.431428571428576,8.65714285714285,911.5714285714286,0.07071428571428573,80.0,60.57142857142857,70.82142857142857,56.714285714285715,62.642857142857146,29.39785714285716,8.349999999999998,912.7142857142857,0.05589285714285718
2007-07-04,86,67,76.5,65.0,69.0,29.205,8.5,908.0,0.41000000000000003,78.28571428571429,57.42857142857143,68.64285714285714,54.5,60.857142857142854,29.414285714285718,8.635714285714277,910.8571428571429,0.0935714285714286,80.07142857142857,61.0,71.03571428571429,57.714285714285715,63.214285714285715,29.38214285714287,8.367857142857142,912.2857142857143,0.08517857142857146
2007-07-05,89,70,79.5,60.0,67.0,29.265,7.5,908.0,0.0,80.42857142857143,59.142857142857146,70.5,55.142857142857146,61.785714285714285,29.392142857142858,7.864285714285705,910.2857142857143,0.0935714285714286,80.71428571428571,61.642857142857146,71.64285714285714,58.357142857142854,63.67857142857143,29.37357142857144,8.178571428571427,911.8571428571429,0.08478571428571433
2007-07-06,86,66,76.0,57.0,64.5,29.35,5.5,907.0,0.0,82.57142857142857,60.57142857142857,72.28571428571429,55.357142857142854,62.5,29.379285714285714,7.471428571428562,909.5714285714286,0.0935714285714286,81.42857142857143,62.0,72.14285714285714,58.892857142857146,64.14285714285714,29.372857142857157,7.971428571428569,911.3571428571429,0.08446428571428576
2007-07-07,90,64,77.5,62.5,68.5,29.21,8.35,907.0,0.0,84.14285714285714,62.0,73.71428571428571,57.5,64.14285714285714,29.34714285714286,7.807142857142848,908.8571428571429,0.0935714285714286,83.0,62.214285714285715,73.03571428571429,59.142857142857146,64.64285714285714,29.36964285714287,7.957142857142855,910.8571428571429,0.07053571428571433
2007-07-08,94,75,84.5,67.0,72.0,29.085,12.899999999999999,905.0,0.0,86.71428571428571,65.0,76.21428571428571,59.714285714285715,66.07142857142857,29.282857142857146,8.342857142857133,908.0,0.0935714285714286,84.21428571428571,63.07142857142857,74.07142857142857,59.5,65.14285714285714,29.354642857142867,8.378571428571425,910.2142857142857,0.07053571428571433
2007-07-09,94,70,82.5,66.5,70.5,29.134999999999998,8.8,904.0,0.27,88.85714285714286,67.42857142857143,78.42857142857143,62.07142857142857,67.78571428571429,29.227857142857143,8.414285714285706,907.0,0.13214285714285717,84.57142857142857,63.42857142857143,74.46428571428571,59.5,65.17857142857143,29.335000000000008,8.553571428571425,909.5,0.08982142857142861
2007-07-10,89,69,79.5,67.0,70.5,29.095,10.35,904.0,0.255,89.71428571428571,68.71428571428571,79.42857142857143,63.57142857142857,68.85714285714286,29.19214285714286,8.842857142857133,906.1428571428571,0.1335714285714286,84.35714285714286,63.357142857142854,74.32142857142857,59.357142857142854,65.07142857142857,29.31178571428572,8.749999999999998,908.8571428571429,0.10214285714285719
2007-07-11,77,62,70.0,51.0,59.0,29.255000000000003,11.05,902.0,0.0,88.42857142857143,68.0,78.5,61.57142857142857,67.42857142857143,29.19928571428571,9.207142857142847,905.2857142857143,0.07500000000000002,83.35714285714286,62.714285714285715,73.57142857142857,58.035714285714285,64.14285714285714,29.30678571428572,8.921428571428569,908.0714285714286,0.08428571428571432
2007-07-12,80,60,70.5,51.0,59.5,29.25,11.25,901.0,0.0,87.14285714285714,66.57142857142857,77.21428571428571,60.285714285714285,66.35714285714286,29.197142857142858,9.742857142857133,904.2857142857143,0.07500000000000002,83.78571428571429,62.857142857142854,73.85714285714286,57.714285714285715,64.07142857142857,29.29464285714286,8.803571428571427,907.2857142857143,0.08428571428571432
2007-07-13,78,58,67.5,52.5,58.5,29.295,5.55,899.0,0.0,86.0,65.42857142857143,76.0,59.642857142857146,65.5,29.189285714285717,9.74999999999999,903.1428571428571,0.07500000000000002,84.28571428571429,63.0,74.14285714285714,57.5,64.0,29.28428571428572,8.610714285714284,906.3571428571429,0.08428571428571432
2007-07-14,85,61,73.5,55.0,62.0,29.11,13.55,899.0,0.0,85.28571428571429,65.0,75.42857142857143,58.57142857142857,64.57142857142857,29.175,10.492857142857133,902.0,0.07500000000000002,84.71428571428571,63.5,74.57142857142857,58.035714285714285,64.35714285714286,29.261071428571434,9.15,905.4285714285714,0.08428571428571432
2007-07-15,82,60,71.5,52.5,61.0,29.22,5.7,897.0,0.0,83.57142857142857,62.857142857142854,73.57142857142857,56.5,63.0,29.194285714285712,9.464285714285706,900.8571428571429,0.07500000000000002,85.14285714285714,63.92857142857143,74.89285714285714,58.107142857142854,64.53571428571429,29.238571428571436,8.903571428571427,904.4285714285714,0.08428571428571432
2007-07-16,82,65,74.0,60.0,65.0,29.28,5.9,895.0,0.23,81.85714285714286,62.142857142857146,72.35714285714286,55.57142857142857,62.214285714285715,29.215,9.049999999999994,899.5714285714286,0.0692857142857143,85.35714285714286,64.78571428571429,75.39285714285714,58.82142857142857,65.0,29.221428571428582,8.732142857142856,903.2857142857143,0.10071428571428576
2007-07-17,83,68,76.0,65.5,69.0,29.21,6.95,894.0,0.11,81.0,62.0,71.85714285714286,55.357142857142854,62.0,29.231428571428573,8.564285714285708,898.1428571428571,0.048571428571428585,85.35714285714286,65.35714285714286,75.64285714285714,59.464285714285715,65.42857142857143,29.211785714285725,8.703571428571427,902.1428571428571,0.09107142857142862
2007-07-18,85,69,77.0,68.5,71.0,29.145,10.35,892.0,1.235,82.14285714285714,63.0,72.85714285714286,57.857142857142854,63.714285714285715,29.215714285714288,8.464285714285708,896.7142857142857,0.22500000000000003,85.28571428571429,65.5,75.67857142857143,59.714285714285715,65.57142857142857,29.20750000000001,8.835714285714285,901.0,0.15000000000000005
2007-07-19,83,63,73.0,62.5,66.0,29.235,13.15,890.0,0.085,82.57142857142857,63.42857142857143,73.21428571428571,59.5,64.64285714285714,29.21357142857143,8.73571428571428,895.1428571428571,0.23714285714285716,84.85714285714286,65.0,75.21428571428571,59.892857142857146,65.5,29.205357142857157,9.239285714285714,899.7142857142857,0.1560714285714286
2007-07-20,75,58,67.5,52.5,59.0,29.465,10.3,890.0,0.0,82.14285714285714,63.42857142857143,73.21428571428571,59.5,64.71428571428571,29.237857142857145,9.41428571428571,893.8571428571429,0.23714285714285716,84.07142857142857,64.42857142857143,74.60714285714286,59.57142857142857,65.10714285714286,29.213571428571438,9.582142857142857,898.5,0.1560714285714286
2007-07-21,75,58,66.5,52.0,58.5,29.54,7.4,888.0,0.0,80.71428571428571,63.0,72.21428571428571,59.07142857142857,64.21428571428571,29.29928571428572,8.535714285714281,892.2857142857143,0.23714285714285716,83.0,64.0,73.82142857142857,58.82142857142857,64.39285714285714,29.237142857142867,9.514285714285716,897.1428571428571,0.1560714285714286
